year,region,seed,team_name,winning_bid,owner_name,notes,team_still_alive,cashed_1st_round,payout_round1_bonus,made_sweet_sixteen,made_elite_eight,made_final_four,made_final_game,champs,biggest_loser,total,profit_loss,roi,playin_flag,playin_team_a,playin_team_b,source_section,source_row,team_id_primary,team_id_a,team_id_b,mapping_status,mapping_source
2024,West,2,Arizona,13800,McManama,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,31,1112,,,mapped_single,spelling_exact
2024,West,15,Long Beach State,3000,Piemonte,Long Beach State + 20.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,32,1253,,,mapped_single,spelling_exact
2024,West,3,Baylor,6600,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,33,1124,,,mapped_single,spelling_exact
2024,West,13,Charleston,4000,Mueller+Nickel,Charleston + 9.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,34,1158,,,mapped_single,spelling_exact
2024,West,1,North Carolina,13500,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,35,1314,,,mapped_single,spelling_exact
2024,West,5,Saint Mary's,7000,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,36,1388,,,mapped_single,spelling_exact
2024,West,14,Colgate,3400,Piemonte,Colgate + 14.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,37,1159,,,mapped_single,spelling_exact
2024,West,9,Michigan State,4400,Tom MacDonald,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,38,1277,,,mapped_single,spelling_exact
2024,West,6,Clemson,4000,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,39,1155,,,mapped_single,spelling_exact
2024,Midwest,8,Utah State,2400,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,41,1429,,,mapped_single,spelling_exact
2024,Midwest,10,Virginia / Colorado State,2900,Moncrief + Sparty,,Y,,0,0,0,0,0,0,0,0,,-1,Y,Virginia,Colorado State,results_table_2024,42,,1438,1161,mapped_combo,spelling_exact
2024,Midwest,12,McNeese,2800,VB,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,43,1270,,,mapped_single,spelling_exact
2024,Midwest,4,Kansas,5800,Hall + Gwillam + Cushing + Hoff,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,44,1242,,,mapped_single,spelling_exact
2024,Midwest,11,Oregon,4800,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,45,1332,,,mapped_single,spelling_exact
2024,Midwest,7,Texas,3400,Hall + Gwillam + Cushing + Hoff,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,46,1400,,,mapped_single,spelling_exact
2024,Midwest,16,Montana State / Grambling,3000,Moncrief + Sparty,Montana State / Grambling + 23.5,Y,,0,0,0,0,0,0,0,0,,-1,Y,Montana State,Grambling,results_table_2024,47,,1286,1212,mapped_combo,spelling_exact
2024,Midwest,2,Tennessee,25000,Piemonte,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,48,1397,,,mapped_single,spelling_exact
2024,Midwest,15,Saint Peter's,4000,Piemonte,Saint Peter's + 21.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,49,1389,,,mapped_single,spelling_exact
2024,Midwest,3,Creighton,10600,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,50,1166,,,mapped_single,spelling_exact
2024,Midwest,13,Samford,3800,Tom MacDonald,Samford + 8.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,51,1359,,,mapped_single,spelling_exact
2024,Midwest,1,Purdue,20000,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,52,1345,,,mapped_single,spelling_exact
2024,Midwest,5,Gonzaga,8500,McManama,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,53,1211,,,mapped_single,spelling_exact
2024,Midwest,14,Akron,3000,Lefty + Freddie,Akron + 12.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,54,1103,,,mapped_single,spelling_exact
2024,Midwest,9,TCU,4600,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,55,1395,,,mapped_single,spelling_exact
2024,Midwest,6,South Carolina,5200,Lefty + Freddie,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,56,1376,,,mapped_single,spelling_exact
2024,South,8,Nebraska,4000,Lefty + Freddie,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,58,1304,,,mapped_single,spelling_exact
2024,South,10,Boise State / Colorado,5200,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,Y,Boise State,Colorado,results_table_2024,59,,1129,1160,mapped_combo,spelling_exact
2024,South,12,James Madison,4000,Moncrief + Sparty,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,60,1241,,,mapped_single,spelling_exact
2024,South,4,Duke,12000,Hall + Gwillam + Cushing + Hoff,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,61,1181,,,mapped_single,spelling_exact
2024,South,11,NC State,4200,Mueller+Nickel,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,62,1301,,,mapped_single,spelling_exact
2024,South,7,Florida,4600,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,63,1196,,,mapped_single,spelling_exact
2024,South,16,Longwood,4300,Moncrief + Sparty,Longwood + 24.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,64,1255,,,mapped_single,spelling_exact
2024,South,2,Marquette,12500,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,65,1266,,,mapped_single,spelling_exact
2024,South,15,Western Kentucky,5000,Lefty + Freddie,Western Kentucky + 13.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,66,1443,,,mapped_single,spelling_exact
2024,South,3,Kentucky,13000,Lefty + Freddie,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,67,1246,,,mapped_single,spelling_exact
2024,South,13,Vermont,3800,Moncrief + Sparty,Vermont + 12.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,68,1436,,,mapped_single,spelling_exact
2024,South,1,Houston,22000,Moncrief + Sparty,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,69,1222,,,mapped_single,spelling_exact
2024,South,5,Wisconsin,6000,VB,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,70,1458,,,mapped_single,spelling_exact
2024,South,14,Oakland,3600,Piemonte,Oakland + 13.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,71,1324,,,mapped_single,spelling_exact
2024,South,9,Texas AM,4000,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,72,1401,,,mapped_single,spelling_exact
2024,South,6,Texas Tech,6200,Tom MacDonald,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,73,1403,,,mapped_single,spelling_exact
2024,East,8,Florida Atlantic,4400,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,75,1194,,,mapped_single,spelling_exact
2024,East,10,Drake,4800,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,76,1179,,,mapped_single,spelling_exact
2024,East,12,UAB,3800,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,77,1412,,,mapped_single,spelling_exact
2024,East,4,Auburn,14500,Tom MacDonald,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,78,1120,,,mapped_single,spelling_exact
2024,East,11,Duquesne,2800,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,79,1182,,,mapped_single,spelling_exact
2024,East,7,Washington State,4200,Hall + Gwillam + Cushing + Hoff,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,80,1450,,,mapped_single,spelling_exact
2024,East,16,Stetson,4200,McManama,Stetson + 26.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,81,1391,,,mapped_single,spelling_exact
2024,East,2,Iowa State,15000,Kulhman + Girardin,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,82,1235,,,mapped_single,spelling_exact
2024,East,15,South Dakota State,4400,Mueller+Nickel,South Dakota State + 16.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,83,1355,,,mapped_single,spelling_exact
2024,East,3,Illinois,14500,Bisaillon + Hilding + Dudash + Nardi + Carr,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,84,1228,,,mapped_single,spelling_exact
2024,East,13,Yale,3600,Mueller+Nickel,Yale + 13.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,85,1463,,,mapped_single,spelling_exact
2024,East,1,UConn,31000,"Kent, Kenny + Company",,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,86,1163,,,mapped_single,spelling_exact
2024,East,5,San Diego State,6200,McManama,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,87,1361,,,mapped_single,spelling_exact
2024,East,14,Morehead State,3400,Tom MacDonald,Morehead State + 12.5,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,88,1287,,,mapped_single,spelling_exact
2024,East,9,Northwestern,3400,Tom MacDonald,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,89,1321,,,mapped_single,spelling_exact
2024,East,6,BYU,6200,Tom MacDonald,,Y,,0,0,0,0,0,0,0,0,,-1,N,,,results_table_2024,90,1140,,,mapped_single,spelling_exact
